"","X","V1","V2","V3","V4","V5","V6","V7","V8","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
"1",1.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"3",2.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",4.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",5.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"9",6.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",6.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",8.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",9.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",9.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"15",10.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",10.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",11.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",11.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",12.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",12.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"21",13.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",13.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",14.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",14.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",15.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",15.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",16.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",16.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",19.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",19.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",25.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",25.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"33",28.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",28.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"35",29.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",29.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",30.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",30.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"39",33.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",33.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",34.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",34.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"43",35.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",35.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"45",36.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",36.2017,"passive","passive","passive","passive","active","active","active","active","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU","ARU"
"47",37.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",37.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",38.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",38.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",39.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",39.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",40.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",40.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",42.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",42.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",45.2016,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",45.2017,"passive","passive","passive","passive","active","active","active","active",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
